------------------------------------------------------------------------------------
导出信息：
姓名：刘坤
支付宝账户：liukunup@163.com
起始时间：[2025-07-01 00:00:00]    终止时间：[2025-09-12 23:59:59]
导出交易类型：[全部]
导出时间：[2025-09-13 21:35:18]
共253笔记录
收入：0笔 0.00元
支出：165笔 7546.72元
不计收支：88笔 50.02元

特别提示：
1.本回单内容可表明支付宝受理了相应支付交易申请，因系统原因或通讯故障等偶发因素导致本回单与实际交易结果不符时，以实际交易情况为准；
2.请勿将本回单作为收款方发货的凭据使用，请查证账户实际到账情况后再进行发货操作；
3.支付宝快捷支付等非余额支付方式可能既产生支付宝交易也同步产生银行交易，因此请勿使用本回单进行重复记账；
4.本回单如经任何涂改、编造，均立即失去效力；
5.部分账单如：充值提现、账户转存或者个人设置收支等不计入为收入或者支出，记为不计收支类；
6.因统计逻辑不同，明细金额直接累加后，可能会和下方统计金额不一致，请以实际交易金额为准；
7.禁止将本回单用于非法用途；
8.本明细仅展示当前账单中的交易，不包括已删除的记录；
9.本明细仅供个人对账使用。

------------------------支付宝（中国）网络技术有限公司  电子客户回单------------------------
交易时间,交易分类,交易对方,对方账号,商品说明,收/支,金额,收/付款方式,交易状态,交易订单号,商家订单号,备注,
2025-09-12 04:26:36,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.11-收益发放,不计收支,0.01,余额宝,交易成功,20250912393250338141	,	,,
2025-09-11 09:21:49,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_福佳香肉松披萨面包85G_消费时间:2025-09-11 09:19:08,支出,5.59,账户余额,交易成功,2025091122001428141450332810	,visionpayF57BD4F41E98141E060C083B	,,
2025-09-11 05:53:28,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.10-收益发放,不计收支,0.02,余额宝,交易成功,20250911392345134141	,	,,
2025-09-10 08:42:27,充值缴费,武汉市燃气集团有限公司,/,燃气费-*坤,支出,30.00,账户余额,交易成功,2025091000003001140059266634	,6000281477	,,
2025-09-10 08:42:11,充值缴费,武汉水务集团有限公司（银行渠道）,/,水费-*坤,支出,30.00,账户余额,交易成功,2025091000003001140059268963	,0660298886	,,
2025-09-10 04:20:16,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.09-收益发放,不计收支,0.01,余额宝,交易成功,20250910380086241141	,	,,
2025-09-09 14:45:29,充值缴费,武汉供电公司,/,电费自动缴费-中建大公馆-根据每期出账后自动缴费,支出,50.00,账户余额,交易成功,2025090900003001140059191691	,4219922121429	,,
2025-09-09 09:03:09,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-武汉食堂粉面档:消费（扫码）,支出,7.50,账户余额,交易成功,2025090922001428141433432258	,489223908201861120	,,
2025-09-09 05:49:28,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.08-收益发放,不计收支,0.01,余额宝,交易成功,20250909380091898141	,	,,
2025-09-08 09:08:29,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_沫小言日式红豆面包90g_消费时间:2025-09-08 09:03:33,支出,6.49,账户余额,交易成功,2025090822001428141427079507	,visionpayF57BE6543027141A0DE412B3	,,
2025-09-08 05:32:13,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.07-收益发放,不计收支,0.01,余额宝,交易成功,20250908371928576141	,	,,
2025-09-07 02:52:28,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.06-收益发放,不计收支,0.01,余额宝,交易成功,20250907360531037141	,	,,
2025-09-06 16:51:59,退款,福州朴朴电子商务有限公司,pay***@pupumall.com,退款-朴朴商品订单,不计收支,0.24,账户余额,退款成功,2025090622001428141418390636_2025090616504801305510235	,0551757145192098PAY01	,,
2025-09-06 15:53:13,日用百货,福州朴朴电子商务有限公司,pay***@pupumall.com,朴朴商品订单,支出,60.46,账户余额,交易成功,2025090622001428141418390636	,0551757145192098PAY01	,,
2025-09-06 03:42:36,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.05-收益发放,不计收支,0.01,余额宝,交易成功,20250906359309082141	,	,,
2025-09-05 20:14:04,交通出行,铁路12306,chi***@alipay.com,火车票,支出,32.50,账户余额,交易成功,2025090522001428141417425869	,M20250905264666412	,,
2025-09-05 15:02:21,充值缴费,武汉供电公司,/,电费自动缴费-中建大公馆-根据每期出账后自动缴费,支出,50.00,账户余额,交易成功,2025090500003001140058649017	,4219922121429	,,
2025-09-05 12:31:22,生活服务,武汉金韵园区运营管理有限公司,zha***@kingsoft.com,金山武汉食堂-小碗菜餐线总:消费（扫码）,支出,13.00,账户余额,交易成功,2025090522001428141412387448	,487826757961912320	,,
2025-09-05 09:19:47,餐饮美食,友宝,sma***@ubox.cn,智能货柜消费_福佳香肉松披萨面包85G_消费时间:2025-09-05 09:18:26,支出,5.59,账户余额,交易成功,2025090522001428141409385462	,visionpayF57BB9CC78A414161CE2E776	,,
2025-09-05 09:16:42,交通出行,高德打车,aut***@autonavi.com,高德打车订单,支出,23.35,账户余额,交易成功,2025090522001428141404781102	,0003N202509050000000012281528485	,,
2025-09-05 05:21:42,投资理财,中欧基金管理有限公司,/,余额宝-2025.09.04-收益发放,不计收支,0.02,余额宝,交易成功,20250905353709817141	,	,,
